practice,pct,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,dispensing_patients,total_items,list_size,Principal Supplier,Principal System
D81009,06H,2,0.3958358180131068,8.0,8.0,433.07000000000005,96.13,27.0,556.2,6.4717408902214,87.92340945748221,47.87462707656321,21.0762331838565,20.6117051856962,0.0,130195.0,8912.833333333334,TPP,SystmOne
D81010,06H,1,0.5224670572740218,7.0,7.0,435.0,97.0,27.0,559.0,17.738819912028397,84.9107302561312,50.6125318227977,18.082237950792,18.4563532187395,0.0,359196.0,11983.916666666668,TPP,SystmOne
D81011,06H,2,0.4537399500015847,8.0,8.0,411.47,97.0,26.2,534.6700000000001,32.8181144793153,77.0216165635674,58.1233359671149,23.876604850214,17.692582025677602,4026.0,332050.0,11324.75,TPP,SystmOne
D81012,06H,4,0.38402091029739716,11.0,11.0,408.62,95.69999999999999,27.0,531.3199999999999,10.0694769434629,76.1646701496293,50.222853999834605,18.430576396857603,20.6425986406567,0.0,174842.0,11299.5,TPP,SystmOne
D81013,06H,4,0.38727141944351184,12.0,12.0,429.19000000000005,95.28999999999999,27.0,551.48,10.1382838101649,91.9564096102301,22.770809022888898,6.719209190488911,17.9401549559177,0.0,106571.0,16281.0,TPP,SystmOne
D81014,06H,1,0.46270942661412834,12.0,12.0,435.0,97.0,27.0,559.0,15.057557163037698,81.757070690644,50.141131408403396,15.1388212372138,17.702873843156397,8856.0,396455.0,20527.083333333336,TPP,SystmOne
D81015,06H,2,0.567768916231239,3.0,3.0,382.67,94.03,23.9,500.6,29.7682644497229,91.3572297304595,43.0872603800042,23.8638163103721,18.254948535233602,5148.0,181018.0,6521.166666666667,TPP,SystmOne
D81016,06H,4,0.4242249934755871,8.0,8.0,403.77,97.0,27.0,527.77,20.8234864439101,78.50354462559791,44.427796696707496,12.975706823646501,20.6964596633778,0.0,183830.0,12280.083333333334,TPP,SystmOne
D81017,06H,4,0.3991801558341206,5.0,5.0,392.31999999999994,96.86,27.0,516.18,12.230838993489401,75.9519069079199,43.446041852963106,10.9801161358437,19.401724441316198,0.0,77074.0,5963.5,TPP,SystmOne
D81018,06H,2,0.4140379630069124,5.0,5.0,426.08,95.74000000000001,27.0,548.8199999999999,8.7335849875115,84.6207186158192,61.0145359661454,21.4802155909031,20.4469567503615,2365.0,154812.0,7835.5,TPP,SystmOne
D81019,06H,4,0.4813826771425663,1.0,1.0,342.6700000000001,68.75,25.759999999999998,437.18000000000006,29.532928208846997,73.8206896457738,68.5078843097259,19.888835186080197,19.2266795553407,0.0,98646.0,4157.083333333334,TPP,SystmOne
D81020,06H,4,0.5248182569689621,6.0,7.0,432.15000000000003,97.0,27.0,556.1500000000001,31.515904124772398,63.5340370834089,56.9171032735415,13.6583049774472,24.6593337026193,0.0,265741.0,12979.166666666666,TPP,SystmOne
D81021,06H,1,0.43733257964565125,6.0,6.0,426.8,91.04,27.0,544.84,18.987888493253397,84.9078342132176,65.4060453358223,18.3377061469265,21.3643178410795,2097.0,277598.0,10946.833333333334,TPP,SystmOne
D81022,06H,4,0.5104590861548912,6.0,7.0,416.82,93.93,27.0,537.75,20.522868031854397,91.53904270934629,56.9261582644711,20.0985968904058,20.4702313234736,922.0,171930.0,8037.833333333334,TPP,SystmOne
D81023,06H,4,0.46200117228502297,5.0,5.0,378.80999999999995,93.35,25.59,497.74999999999994,29.056684576757604,78.5996905824905,65.3433121322055,11.9583931133429,25.510760401721697,0.0,269138.0,14137.416666666666,TPP,SystmOne
D81024,06H,4,0.4411862059711348,5.0,5.0,413.5,89.33,26.439999999999998,529.27,29.3361032982456,78.88392056968009,54.161458145782206,18.6780802694359,21.041257367387,0.0,158704.0,7462.666666666667,TPP,SystmOne
D81025,06H,4,0.4175496562104176,7.0,7.0,423.21,96.91,27.0,547.12,12.306492492492499,81.94467895403591,52.6261646943702,14.329954954955001,19.9493243243243,0.0,174903.0,10722.500000000002,EMIS,EMIS Web
D81026,06H,4,0.5147484278538016,20.0,18.0,386.53000000000003,97.0,27.0,510.53000000000003,30.0208144964114,67.8220653744071,61.3490949344742,20.3280886470287,19.253125123230397,0.0,553639.0,25203.333333333336,TPP,SystmOne
D81027,06H,1,0.48117419045157933,6.0,6.0,431.27,95.13,27.0,553.4,10.4131105821545,80.648749993867,54.494909252892896,17.720658234734103,20.6419148646811,1026.0,136754.0,7443.666666666667,EMIS,EMIS Web
D81028,06H,2,0.4746907171605517,6.0,8.0,427.03,96.67,27.0,550.6999999999999,6.304115137203809,87.2681555745749,55.1996419370442,19.198827552515898,21.123595505618,0.0,172842.0,12368.083333333332,EMIS,EMIS Web
D81029,06H,4,0.5863584098126197,8.0,8.0,408.66,97.0,27.0,532.6600000000001,24.3688660358566,80.73764463056631,50.2791223231836,17.9780876494024,20.6357901726428,151.0,237089.0,12353.75,TPP,SystmOne
D81030,06H,1,0.4866524656580029,6.0,6.0,421.6000000000001,97.0,25.939999999999998,544.5400000000002,8.497470468807679,84.183987746593,62.2278853050163,21.4424052384027,18.9062067693443,3810.0,233716.0,11045.083333333336,EMIS,EMIS Web
D81031,06H,1,0.4858886206714437,10.0,10.0,435.0,97.0,27.0,559.0,11.9153982596179,73.05337399136779,48.1959153752578,16.6633954857704,21.372587504089,0.0,280697.0,15624.666666666666,TPP,SystmOne
D81032,06H,1,0.48489720480765297,7.0,9.0,424.77000000000004,86.42999999999999,27.0,538.2,11.428031378376,59.819764344709796,50.7901828440797,21.833755790577698,19.643387815750398,0.0,252122.0,11680.583333333334,TPP,SystmOne
D81033,06H,2,0.35522372726195495,5.0,4.0,431.34,97.0,27.0,555.3399999999999,4.55965935430464,92.4932342003015,45.837358817554204,18.1498344370861,21.8708609271523,977.0,91688.0,4730.083333333334,TPP,SystmOne
D81034,06H,1,0.4757175947922036,17.0,17.0,433.61,97.0,27.0,557.61,11.4642352090538,85.2044772100803,51.298830702495096,23.835271927066998,19.3486325055014,3866.0,366623.0,15215.833333333334,TPP,SystmOne
D81035,06H,2,0.4635900824521362,7.0,8.0,427.75,96.97,27.0,551.72,6.589662480891019,86.31165743596641,44.569454493159704,21.096309237824897,20.572177331295,9091.0,181674.0,9110.416666666666,EMIS,EMIS Web
D81036,06H,1,0.44232623816169614,3.0,3.0,435.0,97.0,27.0,559.0,10.085653165418698,78.9651185877591,53.6367299605268,20.9155888359428,20.139550714772,2068.0,130538.0,5880.416666666667,TPP,SystmOne
D81037,06H,4,0.29975482680724586,6.0,6.0,432.4100000000001,91.98,27.0,551.3900000000001,10.8712277823074,80.9485528166631,35.583520489670796,6.3727985340527304,12.464623842003501,0.0,41928.0,10159.75,TPP,SystmOne
D81038,06H,1,0.47535362193982705,7.0,7.0,435.0,97.0,27.0,559.0,11.9542497244528,97.76502836368022,47.0795332928759,21.4420654911839,18.6114609571788,4757.0,125852.0,6450.5,TPP,SystmOne
D81039,06H,2,0.5236354575355817,5.0,5.0,393.62,85.16,25.25,504.03,18.7769946475196,71.4143754624087,59.3822547456914,24.4516971279373,17.1879895561358,1334.0,186246.0,7574.666666666667,TPP,SystmOne
D81040,06H,1,0.4247457285687417,1.0,1.0,406.3,87.0,27.0,520.3,6.81013532827155,95.64714467516241,58.121429667929,25.1451540866458,16.1322018758374,1377.0,59674.0,2172.1666666666665,TPP,SystmOne
D81041,06H,2,0.4007866314842362,4.0,4.0,428.88,76.72,27.0,532.6,8.2682818487395,92.09631556977061,45.6517509928164,19.452376952796897,22.2476062489501,5705.0,101304.0,5991.333333333333,TPP,SystmOne
D81042,06H,2,0.4282115762572541,4.0,,431.41999999999996,97.0,26.75,555.17,7.47616018211921,76.3080855034075,42.909187800087,17.922185430463603,20.562913907284802,370.0,109196.0,5007.25,TPP,SystmOne
D81043,06H,2,0.4588367049668691,,,435.0,96.74000000000001,27.0,558.74,8.31119611677608,94.3120299553118,55.7889651827709,19.7725528500663,20.1618642294007,11858.0,645727.0,30164.916666666668,TPP,SystmOne
D81044,06H,4,0.4094067500889447,13.0,10.0,407.26,97.0,27.0,531.26,18.180041849907802,84.6558000756137,50.887657058169005,15.009221166122902,20.4667328699106,0.0,226987.0,14250.916666666666,TPP,SystmOne
D81045,06H,1,0.4782623119216933,6.0,6.0,434.98,96.96000000000001,27.0,558.94,8.00438635028779,89.59206137046091,45.813529640984,23.417498532002302,18.456840869054602,2664.0,166998.0,8805.916666666668,EMIS,EMIS Web
D81046,06H,2,0.47403801400875,12.0,12.0,429.76000000000005,97.0,27.0,553.76,19.6797715014164,86.34616065957759,55.443125633562204,18.4341717652391,21.4887831407206,2095.0,371678.0,18631.916666666664,TPP,SystmOne
D81047,06K,3,0.5074521496917864,3.0,3.0,423.13,94.38,27.0,544.51,8.77599026703269,89.68368378241999,52.740144171588895,21.085464753587,20.4541484716157,3134.0,171833.0,8063.166666666666,TPP,SystmOne
D81048,06H,2,,,,422.81,96.18,27.0,545.99,,,,,,,,,,
D81049,06H,1,0.43251298821109346,7.0,7.0,435.0,97.0,27.0,559.0,9.07001538913939,80.36115933895199,53.379614654743605,21.415270018622,20.8213270606684,2898.0,215566.0,10268.916666666666,TPP,SystmOne
D81050,06H,1,0.4763837256062245,7.0,8.0,433.39,96.54,27.0,556.93,12.621871123817899,86.21284007224621,42.95361696868171,16.9034715101802,20.149406767247697,0.0,254281.0,13831.75,TPP,SystmOne
D81051,06H,1,0.419744356485912,7.0,7.0,420.49999999999994,97.0,27.0,544.5,9.232049841964509,93.5900583177871,53.8153220483275,19.632871383418397,21.3518113299295,2305.0,155049.0,8368.75,TPP,SystmOne
D81052,06H,2,0.503430876066663,7.0,5.0,411.77000000000004,97.0,27.0,535.77,22.2233486405481,74.5182005083006,66.2880578137455,23.292656818668398,20.0706486833654,0.0,208469.0,9224.0,TPP,SystmOne
D81053,06H,4,0.37231093044444097,4.0,4.0,392.1700000000001,83.07000000000001,26.9,502.14000000000004,35.8899180561374,57.80696058679379,62.3297150354904,13.674067867616301,24.6149979053205,0.0,210844.0,11912.833333333334,TPP,SystmOne
D81054,06H,4,0.39839728870912045,11.0,13.0,427.47,94.11,27.0,548.58,13.991761117445801,74.3221054806875,41.012655469955895,7.312951298202491,14.1588569672761,0.0,123605.0,20075.916666666664,EMIS,EMIS Web
D81055,06H,1,0.4702368649257295,8.0,8.0,413.43,83.03,27.0,523.46,9.712227928546891,90.3781471261839,60.1340605220648,25.163174166952896,19.2476812092065,5241.0,144099.0,5908.583333333334,TPP,SystmOne
D81056,06H,4,0.3579840717711013,6.0,5.0,398.49,71.08,21.23,490.8,11.0995700999445,79.3114758141355,34.2090800965874,7.78393351800554,15.038781163434901,0.0,62997.0,7662.0,EMIS,EMIS Web
D81057,06H,1,0.5019268723537195,9.0,9.0,435.0,97.0,27.0,559.0,13.349162708693099,69.18180486402541,51.185281451718396,18.467625899280602,21.946762589928102,0.0,265253.0,13233.666666666668,TPP,SystmOne
D81058,06H,2,0.5024887251814294,4.0,4.0,416.09,94.53,26.68,537.3,5.57724359365467,89.81528273927559,57.6686187408022,22.906817141985698,20.481927710843397,6519.0,141294.0,6687.666666666667,EMIS,EMIS Web
D81059,06H,1,0.4610275687537882,6.0,6.0,434.1,97.0,26.98,558.08,16.113152016546,62.1800731806284,52.6009115098775,23.474663908996895,17.284680159550902,2431.0,188420.0,6873.083333333334,TPP,SystmOne
D81060,06H,1,0.5078872165966679,5.0,5.0,392.9,77.89,23.5,494.28999999999996,12.5024847700274,94.4588368088745,50.01479997593639,21.733170880292395,18.330795004568998,1719.0,162450.0,6582.583333333333,EMIS,EMIS Web
D81061,06H,2,0.4674873912991354,10.0,10.0,432.52000000000004,97.0,27.0,556.52,18.2441683112716,67.8178728595325,61.1828457654761,19.0292819895708,20.0320898515844,1461.0,283516.0,12460.416666666666,TPP,SystmOne
D81062,06H,1,0.39912192898064114,6.0,6.0,424.79,85.62,26.810000000000002,537.22,10.764716074869302,76.1256535877898,55.544203991132406,20.0247729149463,20.842279108175102,3969.0,151688.0,7271.5,EMIS,EMIS Web
D81063,06H,4,0.49826353189249334,4.0,4.0,414.37999999999994,95.59,21.64,531.6099999999999,35.3780724320686,66.6942022746564,50.198539722178296,9.918398250189279,22.1384705981324,0.0,173221.0,13127.166666666666,TPP,SystmOne
D81064,06H,2,0.45635339168581773,3.0,3.0,367.5299999999999,72.66,26.52,466.7099999999999,22.0360766980825,90.82051186307659,64.4048506875182,27.311129163281898,16.773354995938302,0.0,138748.0,6184.5,TPP,SystmOne
D81065,06H,4,0.3982934657963995,5.0,4.0,414.95,97.0,27.0,538.95,36.3222523719165,48.552595960089505,35.2392951746211,7.13946869070209,30.455407969639502,0.0,81794.0,4239.583333333333,TPP,SystmOne
D81066,06H,4,0.413761481977839,7.0,7.0,426.78000000000003,91.39,23.77,541.94,8.967015580544642,86.27065547222709,53.1779851462959,17.0135135135135,20.091891891891898,0.0,99902.0,7958.5,TPP,SystmOne
D81067,,,,,,,,,,,,,,,,,,,
D81070,06H,4,0.3216560638786968,8.0,8.0,432.0,95.36,27.0,554.36,11.417485316677599,78.6261255414311,34.5885313430398,6.15418071110145,18.4951614656953,0.0,71425.0,9755.0,TPP,SystmOne
D81071,06H,2,0.46820509451524295,5.0,5.0,398.55000000000007,84.34,24.62,507.5100000000001,16.6802593526692,92.3392572922075,59.8820335954352,25.4518705338377,19.751996637242502,4174.0,116255.0,4981.444444444444,,
D81073,06H,4,0.4548209287004491,4.0,4.0,425.40999999999997,97.0,27.0,549.41,38.330806351665395,55.5289531203399,55.5392780767636,10.844306738961999,25.4105344694036,0.0,93760.0,5253.083333333334,TPP,SystmOne
D81074,06H,1,0.4117286787527139,3.0,3.0,422.26,97.0,27.0,546.26,8.54033438402942,77.4976108652089,55.496522198828,17.651694247438897,19.4536380351983,692.0,62318.0,3604.9999999999995,TPP,SystmOne
D81075,,,,,,,,,,,,,,,,,,,
D81078,06H,2,0.33297512814771596,2.0,2.0,422.66,96.87,27.0,546.53,7.90868621064061,66.694021730059,46.2521393389596,15.4180238870793,18.5722041259501,0.0,52180.0,3633.5833333333335,TPP,SystmOne
D81081,06H,1,0.4733889286886991,2.0,3.0,392.21999999999997,76.32,26.5,495.03999999999996,12.3837954983923,93.18354565763109,50.289750968613994,24.7909967845659,16.0578778135048,2482.0,66174.0,3188.3333333333335,EMIS,EMIS Web
D81082,06H,1,0.5625484895781592,3.0,3.0,404.89,94.42,27.0,526.31,13.620794317394301,80.0599924335392,58.748321663161896,16.0776160776161,20.8482328482328,0.0,112039.0,7216.583333333333,TPP,SystmOne
D81083,,,,,,,,,,,,,,,,,,,
D81084,06H,2,0.464570341310707,4.0,4.0,405.69,84.55,26.17,516.41,7.99522799183465,96.02954205815229,45.09864926066529,14.606454904962401,24.270952927669303,3275.0,134065.0,8161.833333333333,TPP,SystmOne
D81085,06H,2,0.5183316346669141,5.0,6.0,434.71000000000004,97.0,27.0,558.71,9.19922470789398,94.69067453144041,48.141050480871804,14.7620404673696,22.678825876318,2806.0,141449.0,7180.75,EMIS,EMIS Web
D81086,06H,4,0.42336997912484753,6.0,6.0,434.89,97.0,27.0,558.89,26.4594016172507,73.94410829530159,43.7033114210878,12.867073343736699,21.6172506738544,0.0,120339.0,7104.666666666667,TPP,SystmOne
D81087,06H,1,0.34422772390336337,5.0,5.0,435.0,96.2,27.0,558.2,15.7425695986336,91.88724219128972,52.946490215678,15.350128095644697,22.9077711357814,2210.0,88415.0,4480.999999999999,EMIS,EMIS Web
D81088,,,,,,,,,,,,,,,,,,,
D81602,06H,2,0.3573157307391468,3.0,3.0,429.72999999999996,87.0,27.0,543.73,9.54879880736323,79.47373024471621,46.409635698314894,17.1850699844479,25.5935717988595,0.0,56038.0,3828.7500000000005,TPP,SystmOne
D81603,06H,2,0.4537636633464076,3.0,3.0,430.59,97.0,27.0,554.5899999999999,22.0572895782592,86.4610897378621,49.9734749553144,21.548519420587102,20.130752467632398,0.0,188804.0,8097.25,TPP,SystmOne
D81605,06H,4,0.4438660104867297,2.0,2.0,321.64,71.55,26.68,419.87,30.384405163853003,86.56359811583928,70.4988109692824,21.9463753723932,22.105263157894697,0.0,51947.0,1944.6666666666667,TPP,SystmOne
D81606,06H,1,0.40567262261442755,3.0,3.0,353.29999999999995,82.00999999999999,27.0,462.30999999999995,9.06797583732058,79.65348575558829,60.886119241310205,13.8244439129395,21.937335565654102,878.0,61775.0,4143.583333333334,EMIS,EMIS Web
D81607,06H,2,0.42018103676075474,2.0,2.0,427.84000000000003,87.0,27.0,541.84,5.26556748911466,93.72992531853559,48.2211380140306,16.8661588683351,21.3638012332245,2260.0,53247.0,2841.4166666666665,TPP,SystmOne
D81608,,,,,,,,,,,,,,,,,,,
D81611,06H,2,0.36489781272132593,,,384.90999999999997,87.0,24.02,495.92999999999995,15.940905978785,76.17529395383079,53.9304358457151,20.2025072324012,18.2931533269045,2031.0,96100.0,3430.0,TPP,SystmOne
D81612,06H,2,0.4376989656584662,3.0,3.0,428.61,95.83,27.0,551.44,8.70592610736885,87.7935788650947,45.5335907174848,16.1139369277721,19.6134282807731,346.0,75035.0,4957.916666666667,EMIS,EMIS Web
D81613,,,,,,,,,,,,,,,,,,,
D81615,06H,4,0.45658782338213516,4.0,4.0,417.32,97.0,26.14,540.4599999999999,21.033883472837697,86.7231157641749,57.500893990665595,12.6374528147054,22.819629082553803,0.0,92904.0,6582.5,TPP,SystmOne
D81616,06H,4,0.40052464604273,2.0,2.0,416.69999999999993,97.0,27.0,540.6999999999999,16.1838398112784,92.6873662613574,57.2400047203642,12.4691080656032,20.7458997977982,0.0,66138.0,4808.75,TPP,SystmOne
D81618,06H,4,0.45151016675409816,5.0,4.0,416.7,95.0,24.0,535.7,13.4117959183674,86.1220666983522,58.36545300159229,18.484596169858502,20.4079933388843,338.0,63003.0,3516.3333333333335,TPP,SystmOne
D81619,06H,1,0.44746729659130535,5.0,4.0,411.18000000000006,78.49000000000001,27.0,516.6700000000001,6.8582565967172195,93.5631211015066,52.116979989928204,14.980261790982802,21.899023478080203,1925.0,84853.0,4922.166666666666,EMIS,EMIS Web
D81620,06H,4,0.3200512481787683,,,408.46000000000004,97.0,26.490000000000002,531.95,28.980141344626798,82.6557651271295,44.9265640793081,7.99364743250397,28.999470619375302,0.0,10846.0,1942.3333333333333,,
D81622,06H,2,0.40335368157279095,7.0,7.0,431.57,96.78,27.0,555.35,35.7852747009667,77.08351037468358,58.9734942651775,10.961822054727199,24.389644437162104,0.0,214890.0,12689.166666666668,TPP,SystmOne
D81623,06H,1,0.3001483762741561,2.0,2.0,422.02999999999986,94.6,27.0,543.6299999999999,8.878169276907698,89.08531387596659,53.2022765867379,22.728785357737102,16.0,864.0,69245.0,3156.5,TPP,SystmOne
D81624,06H,4,0.4521527728356835,4.0,4.0,407.84999999999997,97.0,25.060000000000002,529.91,39.5870708985985,60.447775398709794,54.0683973133947,6.347897774113769,31.2366034624897,0.0,86259.0,4543.5,TPP,SystmOne
D81625,06H,4,0.4761119597752064,10.0,10.0,429.95000000000005,97.0,27.0,553.95,36.0748707145808,75.6390907065,48.765656716013204,5.12105725052914,26.427133343658,0.0,220668.0,22145.416666666668,TPP,SystmOne
D81629,06H,4,0.45733922415876277,2.0,2.0,423.37,96.96000000000001,24.09,544.4200000000001,31.6613727650352,64.6951918255265,54.2940072466171,12.533863102763199,25.0677262055265,0.0,108755.0,5523.083333333334,TPP,SystmOne
D81630,06H,4,0.3984285534661031,6.0,6.0,398.45000000000005,74.62,24.7,497.77000000000004,15.1133263395375,57.5071226948506,40.6767285985134,5.44554455445545,32.6620162016202,0.0,115763.0,9147.25,TPP,SystmOne
D81631,06H,4,0.398542782507476,6.0,5.0,394.15,84.96000000000001,22.46,501.57,38.080188414376295,62.894178060849896,42.9643934557864,4.87103594080338,28.722198731501102,0.0,120867.0,11745.166666666666,TPP,SystmOne
D81632,06H,,,,,,,,,,,,,,,,,,
D81633,06H,1,0.4146627086212353,7.0,7.0,434.65,97.0,27.0,558.65,20.328349222691198,77.24689468344829,44.133949805235204,7.86482334869432,28.233486943164397,0.0,173513.0,9955.916666666666,TPP,SystmOne
D81634,06H,,,,,,,,,,,,,,0.0,10.0,,,
D81636,06H,,,,,,,,,,,,,,0.0,,,,
D81637,06H,2,0.46818754075496893,6.0,6.0,429.0,86.98,27.0,542.98,10.384764229963801,59.20204866712189,44.1952244499187,4.70121778532994,33.3182290191636,0.0,98838.0,11026.25,TPP,SystmOne
D81638,06H,,,,,,,,,,,,,,0.0,,,,
D81639,06H,,,,,,,,,,,,,,0.0,80.0,,,
D81642,,,,,,,,,,,,,,,,,,,
D81643,06H,,,,,,,,,,,,,,0.0,,,,
D81644,,,,,,,,,,,,,,,,,,,
D81645,06H,4,0.3666559791903086,1.0,1.0,316.75000000000006,67.17999999999999,24.5,408.43000000000006,25.6316067179846,63.390077953854,51.02219467397779,11.371588523443,26.0461861441568,0.0,46479.0,2877.5833333333335,TPP,SystmOne
D81646,06H,,,,,,,,,,,,,,,3.0,,,
D81647,5PP,,,,,,,,,,,,,,,,,,
D81648,,,,,,,,,,,,,,,,,,,
D81649,5PP,,,,,,,,,,,,,,,,,,
D81650,5PN,,,,,,,,,,,,,,,,,,
D82001,06V,1,0.5218246126619586,12.0,12.0,426.0,97.0,26.490000000000002,549.49,21.3271687097444,82.0075987897507,64.20283315723289,33.7487882564742,16.4880210497161,10596.0,405691.0,14049.333333333334,EMIS,EMIS Web
D82002,06Y,1,0.48538001620361326,9.0,8.0,434.8,96.19,27.0,557.99,25.469975401229895,69.0348855609211,70.454244804778,16.7166641667917,20.491975401229897,0.0,276832.0,13227.416666666666,TPP,SystmOne
D82003,06M,3,0.5600019514541044,3.0,3.0,389.89,79.32,27.0,496.21,26.1123855518826,49.8432246333141,60.038034979328096,24.7440135451101,18.0891719745223,0.0,367540.0,16567.75,TPP,SystmOne
D82004,06V,1,0.5453549637294748,5.0,5.0,427.72,97.0,27.0,551.72,23.2762545497149,84.9808557789285,60.3769778607584,33.2500195266734,14.6496914785597,3400.0,411662.0,12836.333333333334,TPP,SystmOne
D82005,06V,1,0.45698944522186546,8.0,7.0,435.0,97.0,27.0,559.0,16.739802378676902,64.29391969214021,67.530440020486,38.8865323435843,13.910922587486699,1394.0,284231.0,9400.25,TPP,SystmOne
D82006,06Y,1,0.4605795121409258,7.0,7.0,430.58,96.38,27.0,553.96,15.248406460945,92.24178101465151,50.5090317918434,25.6475123479099,18.585712564751198,4437.0,202336.0,8417.666666666668,EMIS,EMIS Web
D82007,06M,3,0.444372059491304,15.0,22.0,432.37,97.0,27.0,556.37,32.7917462912745,89.3618157322708,54.943083094139396,25.011963630563102,18.251714787047398,0.0,502257.0,25044.666666666668,TPP,SystmOne
D82008,06W,4,0.4190821856564728,9.0,7.0,420.48999999999995,97.0,27.0,544.49,25.0377134534721,91.48792756708609,62.9168912026632,18.0208171508467,16.064937082491802,0.0,263742.0,13030.083333333334,TPP,SystmOne
D82009,06V,1,0.469315244339689,5.0,7.0,423.9,89.02000000000001,27.0,539.92,25.1437963160705,95.49763811650699,57.7308588851775,29.7784303256807,15.1041110517886,4778.0,233078.0,7569.5,TPP,SystmOne
D82010,07J,2,0.5436302455049102,3.0,3.0,435.0,95.0,27.0,557.0,20.5180263049733,93.7766547837455,60.45550294736421,27.5380189066995,15.9926017262639,4903.0,139054.0,4936.583333333333,TPP,SystmOne
D82011,06W,4,0.5172838896594915,12.0,12.0,435.0,97.0,27.0,559.0,25.255655515971302,82.8722237888418,58.5072840452389,21.532516152406302,18.8527262846446,0.0,312930.0,16483.583333333332,TPP,SystmOne
D82012,06W,4,0.39300299302556324,8.0,8.0,433.00000000000006,96.95,26.93,556.88,23.774380280633302,93.61049131637141,52.43189306827121,20.109552037217696,17.8614842049974,0.0,219873.0,13522.25,TPP,SystmOne
D82013,06W,3,0.4421231611032463,2.0,2.0,428.77,97.0,27.0,552.77,11.8994395692062,46.9830476809425,42.848281835086205,17.3248238266188,21.0557106767717,0.0,103299.0,7419.416666666667,TPP,SystmOne
D82015,07J,2,0.5992569135832333,,,431.31,97.0,23.85,552.16,20.604167453645,84.3503900852533,59.4209098849537,32.3966371069907,15.1168950823448,3414.0,245847.0,8673.5,TPP,SystmOne
D82016,06V,3,0.4568515273039813,10.0,7.0,435.0,97.0,27.0,559.0,16.3642300078731,91.60698077069469,61.427881785461395,27.532321528948803,16.9960652051714,4627.0,241543.0,9279.5,TPP,SystmOne
D82017,06W,4,0.4830786471447114,8.0,8.0,418.9,97.0,27.0,542.9,24.928811360787,83.1038348689573,61.3613583584465,15.006268685504901,21.816954383257798,0.0,199342.0,10377.5,TPP,SystmOne
D82018,06W,3,0.4268624739391003,4.0,4.0,431.75,94.44,27.0,553.19,11.589765757575801,75.9727176498727,54.9292753809507,26.4747474747475,16.8343434343434,0.0,152086.0,10042.083333333334,TPP,SystmOne
D82019,06M,3,0.44715280354991876,8.0,8.0,399.78000000000003,71.94,26.98,498.70000000000005,21.5536563172169,82.5758769234398,52.6033492940838,23.716450014027902,18.153932479192,0.0,225496.0,11672.75,EMIS,EMIS Web
D82020,06Y,1,0.5309950144198718,7.0,7.0,433.54,96.77,27.0,557.3100000000001,19.3066345496009,68.3919792623076,49.382283619310705,20.781071835803896,21.290383884454602,0.0,232770.0,10519.25,TPP,SystmOne
D82021,07J,2,,,,,,,,,,,,,,,,,
D82022,06Y,1,0.4367967253754995,4.0,4.0,355.71000000000004,85.35,24.66,465.7200000000001,17.622399743480102,81.08230449091579,57.0365184015497,24.779139355941897,17.8569392989456,2156.0,168666.0,7050.166666666667,TPP,SystmOne
D82023,06W,1,0.41008391831445934,7.0,7.0,435.0,97.0,27.0,559.0,13.6788569854388,71.6825241839296,49.97188667771339,16.7857423255084,22.2579885373322,589.0,220970.0,13133.916666666668,TPP,SystmOne
D82024,06W,3,0.4051439894411133,3.0,3.0,406.46999999999997,97.0,27.0,530.47,8.69577117470575,72.96338999146741,65.1259663625894,18.751442418647603,20.4108008308331,457.0,136868.0,8648.0,TPP,SystmOne
D82025,06V,1,0.4619729577301384,6.0,6.0,435.0,97.0,27.0,559.0,16.7257007855823,75.6451874768949,66.0115117179315,33.5951940850277,14.849815157116401,5107.0,261073.0,9203.666666666666,TPP,SystmOne
D82026,06W,4,0.5720572725756231,6.0,6.0,412.95,96.31,27.0,536.26,28.299162567346002,86.4006614811386,57.663336068279,19.8172874209417,17.788709299601802,0.0,184998.0,8449.166666666668,TPP,SystmOne
D82027,07J,2,0.4904867377447291,6.0,6.0,429.53000000000003,96.37,27.0,552.9000000000001,18.2364086532289,82.96524173606659,52.045683359718296,39.8639106432148,12.992681987418198,414.0,236581.0,7812.416666666667,TPP,SystmOne
D82028,06V,1,0.5432910271208788,5.0,5.0,410.77,97.0,27.0,534.77,21.719486321094305,88.13507916184341,73.0708106993882,34.3952483801296,14.3916486681066,4380.0,174939.0,5700.75,EMIS,EMIS Web
D82029,06V,3,0.4898507929214119,9.0,9.0,418.53999999999996,96.00999999999999,27.0,541.55,11.1049232018821,91.08388899627519,62.03984234591329,22.4176562850101,19.2460228545821,3957.0,471358.0,18048.5,EMIS,EMIS Web
D82030,06V,3,0.4965872988839255,4.0,4.0,434.96,97.0,27.0,558.96,15.3297878954306,71.9382996240405,64.6405141623208,25.362478031634396,18.4710017574692,3984.0,226658.0,9096.083333333332,TPP,SystmOne
D82031,06Y,1,0.5278489024099872,5.0,5.0,401.23000000000013,96.55,27.0,524.7800000000002,17.5163464828291,80.21974560065,47.8004009683389,25.6190962471279,17.771253510339502,2423.0,204211.0,7886.166666666666,EMIS,EMIS Web
